State,2010,2000
AK,3,3
DE,3,3
MT,3,3
ND,3,3
SD,3,3
VT,3,3
WY,3,3
HI,4,4
ID,4,4
ME,4,4
NH,4,4
RI,4,4
NE,5,5
NM,5,5
WV,5,5
AR,6,6
IA,6,7
KS,6,6
MS,6,6
NV,6,5
UT,6,5
CT,7,7
OK,7,7
OR,7,7
KY,8,8
LA,8,9
AL,9,9
CO,9,8
SC,9,9
MD,10,10
MN,10,10
MO,10,11
WI,10,10
AZ,11,10
IN,11,11
MA,11,12
TN,11,11
WA,12,11
VA,13,13
NJ,14,15
NC,15,15
GA,16,15
MI,16,17
OH,18,20
IL,20,21
PA,20,21
FL,29,27
NY,29,31
TX,38,34
CA,55,55
DC,3,3
