DISTRICT,NEW_RATING
AK HD-21,SAFE D
AZ SD-10,SAFE D
AZ SD-18,SAFE D
AR HD-05,SAFE D
AR HD-09,TILT R
AR HD-32,TILT R
AR SD-12,TILT D
CA AD-60,SAFE D
CA AD-76,SAFE D
CA AD-77,SAFE D
CA SD-29,LEAN D
CO HD-25,LIKELY D
CO HD-38,LEAN D
CO HD-37,SAFE D
CO HD-47,LEAN D
CO SD-19,SAFE D
CO SD-26,SAFE D
CO SD-27,LEAN D
CT HD-56,LIKELY D
CT HD-139,LIKELY D
CT HD-147,SAFE D
CT SD-14,LEAN D
CT SD-24,LIKELY D
CT SD-33,LEAN D
FL HD-21,TOSS-UP
FL SD-37,SAFE D
GA HD-50,TILT D
GA HD-59,LIKELY D
GA HD-105,SAFE D
GA HD-109,TOSS-UP
GA SD-40,LIKELY D
HI HD-47,SAFE D
HD SD-9,SAFE D
IA HD-15,SAFE D
IA HD-16,TOSS-UP
IA HD-26,LIKELY D
IA HD-29,SAFE D
IA HD-37,TOSS-UP
IA HD-38,LEAN D
IA HD-39,LEAN D
IA HD-44,LIKELY D
IA HD-52,SAFE D
IA HD-55,TILT D
IA HD-60,LEAN D
IA HD-67,LEAN D
IA HD-82,TILT D
IA HD-83,SAFE D
IA SD-20,TILT D
IA SD-44,TILT D
ID HD-05A,TOSS-UP
ID HD-05B,TILT R
ID HD-15A,LEAN D
ID HD-15A,TILT D
ID SD-05,LIKELY D
IL HD-68,TILT R
IL HD-111,TILT D
IL HD-116,TOSS-UP
IL SD-25,LEAN D
IL SD-46,SAFE D
IN HD-05,TOSS-UP
IN HD-07,TOSS-UP
IN HD-19,TILT D
IN HD-35,TILT D
IN HD-66,LIKELY D
IN SD-30,LEAN D
KS HD-14,TOSS-UP
KS HD-33,SAFE D
KS SD-07,SAFE D
KS SD-19,SAFE D
KS SD-25,SAFE D
KS SD-28,TILT D
MA HD-1st Essex,TILT R
MA HD-2nd Essex,TILT D
MA HD-13th Essex,LEAN D
MA HD-2nd Worcester,LIKELY D
"MA SD-Norfolk, Bristol & Middlesex",LEAN D
MA SD-Plymouth & Barnstable,LEAN D
"MA SD-Worcester, Hampden, Hampshire & Middlesex",SAFE D
ME HD-75,TILT R
MN HD-05A,TILT D
MN HD-57A,SAFE D
MO HD-16,TILT R
MO HD-17,SAFE D
MO HD-35,LIKELY D
MO HD-61,TOSS-UP
MO HD-70,LEAN D
MO HD-94,TOSS-UP
MO HD-135,TILT R
MO SD-15,TILT R
MO SD-17,LIKELY D
MT HD-03,TILT D
MT HD-26,TILT D
MT SD-26,LEAN D
NC HD-01,TILT R
NC HD-19,LIKELY R
NC HD-20,TILT R
NC HD-37,TILT D
NC HD-59,TOSS-UP
NC HD-63,TILT D
NC HD-74,TOSS-UP
NC HD-82,TOSS-UP
NC HD-83,TILT R
NC HD-98,TILT D
NC HD-103,LIKELY D
NC HD-119,LEAN D
NC SD-18,LEAN D
NC SD-31,LEAN R
ND SD-16,LEAN R
ND SD-24,TILT D
ND SD-42,TILT R
NE SD-29,SAFE D
NE SD-35,LEAN D
NH SD-11,LEAN D
NH SD-12,TILT D
NM HD-15,LIKELY D
NM HD-20,TILT D
NM HD-22,TILT D
NM HD-28,LIKELY D
NM HD-30,SAFE D
NM SD-20,TILT D
NM SD-30,LEAN D
NV AD-04,LEAN D
NV AD-05,SAFE D
NV AD-21,SAFE D
NV AD-35,SAFE D
NV AD-41,SAFE D
NY AD-12,LEAN R
NY AD-107,TOSS-UP
NY AD-135,TOSS-UP
NY SD-06,LIKELY D
NY SD-07,SAFE D
NY SD-56,LEAN D
OK HD-64,TILT R
OH HD-06,LEAN D
OH HD-36,TOSS-UP
OH HD-37,LEAN D
OH HD-43,TILT D
OH HD-64,SAFE D
OH HD-75,LEAN D
OH SD-16,TILT D
OH SD-32,LIKELY D
OR HD-31,SAFE D
OR HD-49,LIKELY D
OR HD-51,SAFE D
PA HD-16,SAFE D
PA HD-50,LIKELY D
PA HD-55,LEAN D
PA HD-72,TILT D
PA HD-26,TILT R
PA HD-29,TILT R
PA HD-120,LEAN R
PA HD-143,LEAN D
PA HD-144,TOSS-UP
PA HD-147,LEAN R
PA HD-150,SAFE D
PA HD-151,TOSS-UP
PA HD-152,LEAN D
PA HD-155,LIKELY D
PA HD-160,LEAN D
PA HD-163,SAFE D
PA HD-178,TOSS-UP
SC HD-44,TOSS-UP
SC HD-114,LEAN R
SC HD-115,TILT D
SC SD-20,LIKELY D
SC SD-41,TILT R
TN HD-56,SAFE D
TN SD-10,LEAN R
TX HD-45,LEAN D
TX HD-52,LIKELY D
TX HD-134,TILT R
TX HD-136,SAFE D
UT HD-08,TILT R
UT HD-32,SAFE D
UT HD-43,TILT R
UT HD-44,SAFE D
UT SD-08,SAFE D
WI AD-24,TILT R
WI AD-74,SAFE D
WI AD-94,SAFE D
WI HD-97,LIKELY R
WV HD-02,SAFE D
WV HD-20,LIKELY D
WV HD-30,SAFE D
WV HD-55,TILT R
WV HD-61,LIKELY D
WV HD-63,TILT R
WV HD-65,LIKELY D
WV SD-04,LEAN R
WV SD-08,SAFE D
WV SD-13,LIKELY D
AR HD-93,SAFE R
AR SD-26,SAFE R
AR SD-34,LIKELY R
CA AD-73,SAFE R
CA SD-23,LIKELY R
CT HD-103,TOSS-UP
FL HD-36,SAFE R
FL HD-69,LEAN D
GA HD-49,SAFE R
GA HD-51,TILT D
GA HD-54,TILT D
GA HD-102,TOSS-UP
GA HD-106,TILT D
GA HD-108,TILT D
GA HD-132,TILT D
IA HD-30,SAFE R
IA HD-73,LIKELY R
IA HD-88,SAFE R
IA HD-94,LIKELY R
IA HD-97,LIKELY R
IA SD-08,LEAN R
IL HD-20,TILT D
IL HD-79,LIKELY R
IN HD-37,SAFE R
ME HD-10,TOSS-UP
ME HD-53,TOSS-UP
ME HD-55,LEAN D
ME HD-64,LEAN D
ME SD-15,SAFE R
ME SD-20,TOSS-UP
MO HD-30,LIKELY R
NC SD-07,LEAN R
ND SD-12,LEAN D
ND SD-20,SAFE R
ND SD-44,TILT D
NE SD-31,TOSS-UP
NE SD-35,TILT D
NM HD-07,SAFE R
NM SD-18,TILT D
NM SD-35,TOSS-UP
NV AD-02,TILT R
NY SD-40,TILT D
OK HD-26,SAFE R
OK HD-81,SAFE R
OK HD-100,LIKELY R
OH HD-63,LEAN D
OR HD-54,TOSS-UP
PA HD-46,SAFE R
PA HD-129,SAFE R
SC HD-52,LEAN D
TX HD-26,TILT R
WV HD-14,SAFE R
WV HD-29,LIKELY R
WV HD-49,SAFE R
WV HD-52,SAFE R
WV SD-16,LEAN R
WV SD-17,TILT R
