DISTRICT,NEW_RATING
CO SD-08,LEAN R
CO HD-38,LIKELY D
MT HD-03,TILT R
MT HD-22,TOSS-UP
MT HD-26,LEAN D
MT HD-52,TILT R
WI HD-55,SAFE R
WI HD-88,TILT R
WI SD-10,LEAN R
WI SD-30,TILT R
WI SD-32,LEAN D
NM SD-18,LEAN D
NM SD-20,TOSS-UP
NM SD-35,TILT R
NM HD-57,TOSS-UP
NM HD-68,SAFE D
ME HD-86,TILT R
ME HD-88,TILT D
ME HD-95,LEAN I
ME HD-106,TILT R
ME HD-107,TILT D
ME HD-117,TILT R
ME HD-120,TILT I
ME HD-131,TILT R
ME HD-143,TOSS-UP
ME SD-13,TILT D
ME SD-16,TOSS-UP
ME SD-20,LEAN D
ME SD-21,SAFE D
WI HD-13,TOSS-UP
WI HD-51,TILT D
WI HD-62,SAFE R
WI HD-85,SAFE R
MI HD-39,TOSS-UP
MI HD-45,TOSS-UP
MI HD-62,LIKELY D
MI HD-104,TOSS-UP
CA SD-23,LEAN R
CA HD-42,LEAN I
FL HD-64,TOSS-UP
FL HD-67,LIKELY R
FL HD-69,LIKELY D
PA SD-49,TILT D
PA SD-13,LEAN R
OR HD-11,LEAN D
WI HD-88,LEAN R
MO HD-13,SAFE R
RI HD-30,TILT D
FL HD-89,TILT R
MO HD-65,TILT R
