STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Murphy 2012 Senate D,McMahon 2012 Senate R
CT,CT House 90,"5,578","6,261","5,782","5,756","5,349","5,902"
CT,CT House 91,"8,597","3,500","8,455","3,339","7,983","3,320"
CT,CT House 92,"7,897",794,"8,696",895,"8,152","1,025"
CT,CT House 93,"6,535",399,"7,537",422,"6,891",610
CT,CT House 94,"7,402",881,"9,023","1,024","8,288","1,211"
CT,CT House 95,"5,278",616,"5,894",407,"5,351",613
CT,CT House 96,"7,854","1,895","7,137","1,613","6,763","1,755"
CT,CT House 97,"5,280","1,934","6,492","1,574","5,850","1,767"
CT,CT House 98,"8,274","5,127","7,734","5,471","7,381","5,328"
CT,CT House 99,"4,533","5,604","5,402","3,781","4,868","3,822"
CT,CT House 100,"6,515","3,779","7,166","3,166","6,449","3,385"
CT,CT House 101,"7,188","5,828","6,627","6,483","6,364","6,300"
CT,CT House 102,"6,732","5,216","6,626","4,467","6,238","4,401"
CT,CT House 103,"5,460","5,537","5,464","5,361","5,144","5,402"
CT,CT House 104,"4,341","4,287","5,125","3,075","4,366","3,314"
CT,CT House 105,"4,457","7,137","5,092","5,453","4,540","5,728"
CT,CT House 106,"6,300","5,955","5,682","6,289","5,488","6,172"
CT,CT House 107,"6,206","6,821","5,917","6,757","5,620","6,627"
CT,CT House 108,"5,099","6,216","5,455","6,104","5,119","6,089"
CT,CT House 109,"4,656","3,544","4,818","3,237","4,343","3,303"
CT,CT House 110,"4,020","1,812","3,569","1,512","3,208","1,702"
CT,CT House 111,"7,593","5,410","6,225","6,970","5,907","6,902"
CT,CT House 112,"5,359","6,838","5,256","6,668","4,887","6,661"
CT,CT House 113,"4,479","6,541","4,683","5,450","4,240","5,447"
CT,CT House 114,"6,730","5,855","6,421","5,748","6,136","5,565"
CT,CT House 115,"5,107","3,446","5,776","2,489","5,336","2,826"
CT,CT House 116,"5,245","1,554","5,808","1,136","5,110","1,389"
CT,CT House 117,"5,757","6,153","6,478","5,207","6,292","4,991"
CT,CT House 118,"5,831","5,293","5,800","4,264","5,218","4,356"
CT,CT House 119,"6,051","6,581","6,051","6,064","5,692","5,945"
CT,CT House 120,"6,141","5,873","6,024","5,281","5,615","5,300"
CT,CT House 121,"6,158","3,174","6,172","2,619","5,472","2,873"
CT,CT House 122,"5,443","7,551","5,406","6,862","5,162","6,630"
CT,CT House 123,"6,115","6,305","5,677","6,548","5,301","6,418"
CT,CT House 124,"5,875",671,"6,107",450,"5,511",664
CT,CT House 125,"7,020","5,186","4,900","7,840","4,851","7,453"
CT,CT House 126,"7,055","1,332","7,189",956,"6,582","1,010"
CT,CT House 127,"5,219","1,993","4,925","1,717","4,630","1,765"
CT,CT House 128,"3,970",427,"3,987",252,"3,499",447
CT,CT House 129,"5,266","1,611","5,077","1,406","4,612","1,543"
CT,CT House 130,"4,650",562,"4,850",387,"4,241",593
CT,CT House 131,"4,414","7,467","5,370","6,900","4,582","7,135"
CT,CT House 132,"7,651","5,318","6,383","6,432","6,275","6,327"
CT,CT House 133,"6,714","4,024","5,937","4,221","5,428","4,163"
CT,CT House 134,"6,369","5,664","5,549","6,581","5,286","6,402"
CT,CT House 135,"8,127","5,120","6,678","6,566","6,452","6,438"
CT,CT House 136,"9,918","3,799","7,886","5,923","7,748","5,618"
CT,CT House 137,"7,183","3,204","6,440","3,086","5,836","3,223"
CT,CT House 138,"5,681","5,138","5,239","4,836","4,786","4,928"
CT,CT House 139,"4,483","4,622","5,364","3,600","4,783","3,604"
CT,CT House 140,"5,551","1,440","5,466","1,277","4,934","1,454"
CT,CT House 141,"7,173","4,898","4,993","7,553","4,859","7,175"
CT,CT House 142,"7,291","5,002","6,277","5,571","5,870","5,559"
CT,CT House 143,"7,714","5,183","6,504","6,487","6,166","6,315"
CT,CT House 144,"6,664","4,427","6,025","4,687","5,635","4,579"
CT,CT House 145,"5,658","1,210","5,305","1,101","4,742","1,224"
CT,CT House 146,"6,984","2,546","5,306","2,590","4,818","2,627"
CT,CT House 147,"7,175","4,716","6,009","5,701","5,702","5,456"
CT,CT House 148,"5,952","2,411","5,504","2,365","4,948","2,410"
CT,CT House 149,"6,959","5,338","5,085","6,823","4,847","6,604"
CT,CT House 150,"6,552","3,693","4,974","5,229","4,681","5,055"
CT,CT House 151,"6,817","4,829","5,116","6,544","4,980","6,267"
