STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Sanders 2012 Senate D,MacGovern 2012 Senate R
VT,VT House Windham 2-2,"1,367",216,"1,512",242,"1,459",189
VT,VT House Windham 2-3,"1,491",217,"1,529",241,"1,504",189
VT,VT House Windham 3,"1,960",940,"2,268",825,"2,273",608
VT,VT House Windham 4,"2,749",714,"3,112",746,"3,185",559
VT,VT House Windham 5,"1,496",473,"1,662",464,"1,683",369
VT,VT House Windham 6,"1,061",791,"1,316",683,"1,267",549
VT,VT House Windham-Bennington,"1,011",878,"1,213",754,"1,180",588
VT,VT House Windham-Bennington-Windsor,"1,459",749,"1,519",842,"1,569",672
VT,VT House Windsor 1,"2,591","1,193","2,863","1,150","2,836",991
VT,VT House Windsor 2,"1,051",909,"1,287",770,"1,346",646
VT,VT House Windsor 3-1,"1,114",762,"1,301",700,"1,389",540
VT,VT House Windsor 3-2,"1,802","1,445","2,264","1,295","2,337","1,053"
VT,VT House Windsor 4-1,"1,472",660,"1,500",752,"1,512",657
VT,VT House Windsor 4-2,"2,452",947,"2,642","1,010","2,696",796
VT,VT House Windsor 5,"1,723",605,"1,812",748,"1,797",672
VT,VT House Windsor-Orange 1,"1,047",648,"1,370",594,"1,433",468
VT,VT House Windsor-Orange 2,"4,055",837,"4,092",921,"4,097",764
VT,VT House Windsor-Rutland ,"1,305",715,"1,529",714,"1,637",544
