STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Baldwin 2012 Senate D,Thompson 2012 Senate R
WI,WI Assembly 83,"10,351","22,965","11,304","24,734","11,221","23,854"
WI,WI Assembly 84,"13,245","17,163","14,367","19,304","13,923","18,628"
WI,WI Assembly 85,"12,423","13,878","15,032","13,513","14,530","12,974"
WI,WI Assembly 86,"11,624","19,010","14,077","17,619","13,988","16,584"
WI,WI Assembly 87,"8,506","17,826","12,427","14,963","12,357","13,778"
WI,WI Assembly 88,"13,311","15,442","14,960","15,436","14,484","14,730"
WI,WI Assembly 89,"9,658","18,852","13,484","15,520","13,174","14,742"
WI,WI Assembly 90,"10,910","8,151","14,017","7,777","12,980","7,555"
WI,WI Assembly 91,"17,264","11,331","19,110","11,877","17,970","11,904"
WI,WI Assembly 92,"10,965","14,565","15,056","11,579","14,124","11,528"
WI,WI Assembly 93,"12,193","17,888","14,904","16,393","14,680","15,666"
WI,WI Assembly 94,"14,619","15,753","16,430","15,086","15,381","15,183"
WI,WI Assembly 95,"17,787","10,625","20,263","10,665","18,822","11,088"
WI,WI Assembly 96,"11,516","13,864","14,994","11,588","13,909","11,862"
WI,WI Assembly 97,"11,444","15,821","12,577","18,602","11,549","18,188"
WI,WI Assembly 98,"11,659","19,736","11,636","22,608","11,121","22,180"
WI,WI Assembly 99,"10,181","23,335","9,738","26,497","9,271","26,072"
