STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Kaine 2012 Senate D,Allen 2012 Senate R,Warner 2014 Senate D,Gillespie 2014 Senate R
VA,VA House 73,"20,512","17,332","18,949","21,256","20,044","20,117","11,201","12,493"
VA,VA House 74,"30,216","9,895","31,021","10,020","30,919","10,019","17,635","5,639"
VA,VA House 75,"18,985","13,720","22,097","13,242","21,231","13,449","11,536","7,410"
VA,VA House 76,"19,567","23,046","19,008","22,971","19,788","22,143","12,089","13,253"
VA,VA House 77,"24,399","7,996","27,657","7,571","26,945","7,734","13,065","3,956"
VA,VA House 78,"16,454","24,594","16,518","25,072","17,259","24,193","9,096","14,104"
VA,VA House 79,"14,329","8,586","15,433","9,125","15,699","8,820","8,482","4,775"
VA,VA House 80,"26,185","8,927","28,740","9,066","28,291","9,115","14,790","4,671"
VA,VA House 81,"13,440","20,883","14,374","19,767","14,859","18,991","7,671","10,840"
VA,VA House 82,"15,670","21,888","16,098","23,388","17,237","21,984","9,737","13,422"
VA,VA House 83,"15,365","17,851","16,235","18,481","16,776","17,669","8,932","10,565"
VA,VA House 84,"15,843","17,420","16,859","17,077","16,996","16,578","8,231","9,022"
VA,VA House 85,"17,629","17,835","18,077","18,170","18,362","17,562","9,163","9,767"
VA,VA House 86,"25,531","11,617","22,592","14,482","22,818","14,350","12,099","8,315"
VA,VA House 87,"28,210","16,185","21,284","16,050","21,212","16,091","10,764","9,689"
VA,VA House 88,"17,463","23,303","16,868","21,413","17,293","21,041","8,342","13,263"
VA,VA House 89,"23,875","5,191","26,365","5,893","25,922","5,986","12,032","3,058"
VA,VA House 90,"23,149","6,571","25,371","6,477","24,594","6,724","11,200","3,306"
VA,VA House 91,"15,650","19,723","16,708","20,987","17,359","20,506","9,576","12,111"
VA,VA House 92,"26,668","7,081","30,984","7,277","30,200","7,594","14,541","3,794"
VA,VA House 93,"21,781","14,422","21,925","16,468","22,417","16,019","11,856","9,409"
VA,VA House 94,"17,985","15,971","19,420","17,435","19,765","17,179","9,751","9,496"
VA,VA House 95,"23,189","7,172","27,002","7,325","26,398","7,668","11,899","3,917"
VA,VA House 96,"20,567","26,161","19,672","27,419","20,701","26,540","12,360","17,002"
VA,VA House 97,"13,956","33,726","14,026","32,647","15,298","31,592","8,973","20,219"
VA,VA House 98,"13,803","26,503","16,610","25,094","17,275","24,701","9,303","14,890"
VA,VA House 99,"15,968","23,622","17,976","22,128","18,312","21,768","10,236","14,143"
VA,VA House 100,"16,763","15,874","19,235","15,644","19,030","15,342","9,516","9,377"
