STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Stabenow 2012 Senate D,Hoekstra 2012 Senate R,Peters 2014 Senate D,Land 2014 Senate R
MI,MI House 73,"21,999","31,537","20,742","33,101","21,548","30,641","14,932","20,987"
MI,MI House 74,"16,265","27,790","17,262","27,031","18,397","24,442","11,135","16,300"
MI,MI House 75,"25,334","7,323","24,952","7,940","23,901","7,634","12,287","4,477"
MI,MI House 76,"27,127","17,832","25,787","20,832","25,717","19,530","16,371","13,275"
MI,MI House 77,"17,108","23,645","16,679","23,933","16,970","22,263","9,544","14,635"
MI,MI House 78,"14,179","23,560","17,010","22,323","16,887","20,423","8,439","13,954"
MI,MI House 79,"17,908","21,075","19,795","21,305","19,303","20,166","10,222","14,204"
MI,MI House 80,"15,394","27,111","17,754","24,840","18,627","22,565","11,645","15,680"
MI,MI House 81,"12,728","28,570","18,113","22,691","22,218","16,855","13,850","13,757"
MI,MI House 82,"12,734","30,037","18,796","23,734","22,070","18,798","13,184","14,411"
MI,MI House 83,"12,692","23,150","16,946","19,175","20,860","14,029","11,665","11,579"
MI,MI House 84,"12,008","27,794","17,943","23,046","23,096","16,368","13,661","14,443"
MI,MI House 85,"16,220","26,396","22,450","21,986","25,411","17,309","17,000","13,623"
MI,MI House 86,"17,104","28,697","16,644","29,115","17,583","26,801","11,838","18,640"
MI,MI House 87,"14,324","30,263","18,021","26,436","20,030","22,901","13,438","16,555"
MI,MI House 88,"12,217","32,451","11,445","31,587","12,047","29,997","7,748","20,734"
MI,MI House 89,"18,487","29,477","17,997","29,493","18,606","27,515","12,538","19,312"
MI,MI House 90,"14,269","26,539","13,295","27,086","13,154","26,341","7,414","17,881"
MI,MI House 91,"17,166","23,483","20,797","19,973","21,724","17,544","13,917","11,982"
MI,MI House 92,"20,138","12,644","23,639","10,911","23,693","9,709","13,867","6,325"
MI,MI House 93,"19,050","26,968","21,915","25,060","24,836","20,600","17,223","16,027"
MI,MI House 94,"18,377","28,296","21,531","27,516","24,899","22,357","17,245","16,294"
MI,MI House 95,"22,345","10,007","27,597","9,180","28,711","7,045","17,873","4,962"
MI,MI House 96,"18,099","21,625","22,772","19,209","25,708","14,666","17,863","10,950"
MI,MI House 97,"11,839","25,468","17,926","20,944","21,810","15,498","13,069","12,097"
MI,MI House 98,"16,445","24,644","18,882","24,601","21,572","20,328","13,986","15,086"
MI,MI House 99,"14,137","18,243","16,711","15,820","18,726","12,475","11,644","9,520"
MI,MI House 100,"12,124","25,560","16,543","21,183","18,098","18,489","11,109","13,451"
MI,MI House 101,"21,142","28,198","24,590","25,875","26,539","22,535","18,484","17,355"
MI,MI House 102,"11,556","23,752","15,521","20,529","17,724","17,078","10,772","12,843"
MI,MI House 103,"13,272","30,824","19,529","25,448","23,394","19,781","14,067","15,404"
MI,MI House 104,"20,965","27,413","20,875","26,534","22,158","23,487","15,029","16,575"
MI,MI House 105,"15,472","31,750","19,433","28,164","22,245","23,642","14,779","18,306"
MI,MI House 106,"15,816","31,186","21,765","25,798","26,270","19,816","16,823","15,917"
MI,MI House 107,"16,276","27,103","19,498","24,988","22,726","20,287","14,775","16,335"
MI,MI House 108,"13,898","26,403","18,524","22,786","21,694","17,753","12,087","15,440"
MI,MI House 109,"18,724","20,425","21,850","18,633","24,837","14,343","15,392","12,142"
MI,MI House 110,"14,837","22,324","18,621","20,435","21,543","16,184","12,853","13,650"
