STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,McCaskill 2012 Senate D,Akin 2012 Senate R
MO,MO House 90,"12,750","9,125","11,561","11,393","13,626","8,120"
MO,MO House 91,"12,829","7,948","11,665","9,721","13,512","6,800"
MO,MO House 92,"9,196","8,873","9,208","8,770","10,952","6,117"
MO,MO House 93,"7,284","6,779","8,133","6,099","9,505","4,139"
MO,MO House 94,"7,809","9,273","8,305","9,066","10,138","6,279"
MO,MO House 95,"7,388","12,717","7,762","12,590","10,205","8,892"
MO,MO House 96,"8,465","13,600","8,076","14,485","10,481","10,787"
MO,MO House 97,"5,604","10,285","6,713","8,729","8,294","6,302"
MO,MO House 98,"8,137","12,379","7,648","12,906","9,716","9,749"
MO,MO House 99,"8,776","9,760","8,462","10,833","10,273","8,055"
MO,MO House 100,"9,120","12,105","8,214","14,050","10,215","10,843"
MO,MO House 101,"7,496","13,009","6,215","15,117","8,253","11,844"
MO,MO House 102,"6,818","13,238","6,858","12,794","8,976","9,406"
MO,MO House 103,"6,763","13,623","7,214","12,789","9,260","9,581"
MO,MO House 104,"7,599","11,872","8,100","10,752","9,903","7,895"
MO,MO House 105,"7,953","12,388","8,361","12,164","10,368","9,035"
MO,MO House 106,"7,302","9,437","7,317","9,058","8,791","6,686"
MO,MO House 107,"6,911","11,817","7,558","10,397","9,305","7,659"
MO,MO House 108,"6,707","13,833","6,805","12,389","8,849","9,193"
MO,MO House 109,"4,649","12,862","6,070","11,179","8,165","8,128"
MO,MO House 110,"6,308","12,538","6,207","12,472","8,012","9,624"
MO,MO House 111,"4,972","11,830","6,544","9,343","8,150","6,911"
MO,MO House 112,"5,569","12,182","7,015","9,467","8,759","6,847"
MO,MO House 113,"5,522","10,962","7,133","9,159","8,985","6,409"
MO,MO House 114,"5,233","11,259","6,983","8,480","8,759","5,905"
MO,MO House 115,"4,051","10,426","6,085","7,482","7,665","5,321"
MO,MO House 116,"4,444","11,828","6,152","9,257","8,150","6,453"
MO,MO House 117,"3,367","9,467","4,974","7,072","6,656","4,762"
MO,MO House 118,"3,810","10,765","5,983","7,662","7,609","5,445"
MO,MO House 119,"3,779","11,415","5,293","8,657","6,875","6,339"
MO,MO House 120,"3,139","11,883","4,590","10,191","6,623","7,371"
MO,MO House 121,"3,484","9,773","4,429","9,198","6,284","6,565"
MO,MO House 122,"2,030","5,480","2,692","4,981","3,873","3,233"
MO,MO House 123,"3,202","14,313","4,776","12,152","7,284","8,667"
MO,MO House 124,"3,707","13,809","5,023","12,532","7,107","9,263"
MO,MO House 125,"3,605","13,118","5,654","10,952","7,845","7,745"
MO,MO House 126,"3,181","11,963","4,946","10,355","7,243","7,226"
MO,MO House 127,"2,482","14,496","3,875","12,985","5,755","10,157"
MO,MO House 128,"3,133","12,632","4,325","11,163","6,294","8,213"
MO,MO House 129,"2,717","13,289","4,435","11,170","6,633","7,858"
MO,MO House 130,"3,929","13,801","4,948","12,384","7,132","9,021"
MO,MO House 131,"4,639","9,787","5,569","9,829","7,105","7,364"
MO,MO House 132,"4,975","4,587","5,547","4,241","6,315","2,934"
MO,MO House 133,"5,544","11,768","6,021","11,363","8,147","8,050"
MO,MO House 134,"6,606","9,326","6,733","9,965","8,596","6,989"
MO,MO House 135,"7,202","8,018","7,673","8,487","9,329","5,957"
MO,MO House 136,"7,217","13,032","6,841","13,618","9,281","9,828"
MO,MO House 137,"4,739","15,434","5,457","12,846","7,770","9,338"
MO,MO House 138,"3,394","15,263","4,643","13,632","6,741","10,099"
MO,MO House 139,"4,390","14,676","4,752","13,142","6,927","9,735"
MO,MO House 140,"3,709","14,574","4,470","12,892","6,536","9,624"
MO,MO House 141,"2,224","11,829","3,791","10,704","5,549","7,965"
MO,MO House 142,"2,335","11,466","3,575","9,195","5,581","6,431"
MO,MO House 143,"2,667","12,542","4,403","10,298","6,724","7,284"
MO,MO House 144,"2,849","11,589","5,284","8,982","7,458","6,182"
MO,MO House 145,"2,691","13,584","4,194","11,121","6,678","7,959"
MO,MO House 146,"3,509","17,433","4,170","15,439","7,066","11,468"
MO,MO House 147,"4,983","9,584","5,558","9,931","7,324","7,445"
MO,MO House 148,"3,249","11,914","4,322","10,568","6,534","7,776"
MO,MO House 149,"4,163","9,037","5,915","7,465","7,874","5,113"
MO,MO House 150,"2,768","8,629","4,356","7,929","6,313","5,521"
MO,MO House 151,"2,280","13,412","3,855","11,410","6,528","8,095"
MO,MO House 152,"2,843","10,493","3,888","9,051","5,761","6,648"
MO,MO House 153,"2,377","13,232","3,906","11,284","6,227","8,256"
MO,MO House 154,"2,652","12,613","4,295","11,307","6,559","8,168"
MO,MO House 155,"2,765","13,973","4,573","11,874","6,656","8,743"
MO,MO House 156,"3,205","12,904","3,722","11,095","5,294","8,519"
MO,MO House 157,"2,804","12,672","3,876","11,055","5,632","8,245"
MO,MO House 158,"2,820","11,959","3,834","10,298","5,356","7,656"
MO,MO House 159,"2,154","11,525","3,116","9,909","4,423","8,036"
MO,MO House 160,"3,158","12,999","4,087","11,324","5,645","9,103"
MO,MO House 161,"3,900","9,433","4,305","8,282","5,709","6,316"
MO,MO House 162,"3,834","11,012","4,497","10,059","6,033","7,851"
MO,MO House 163,"2,920","11,390","3,630","10,400","5,041","8,317"
