STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R
GA,GA House 167,"6,419","14,455"
GA,GA House 168,"9,362","5,974"
GA,GA House 169,"4,526","12,878"
GA,GA House 170,"4,801","13,069"
GA,GA House 171,"6,881","11,723"
GA,GA House 172,"5,042","10,827"
GA,GA House 173,"8,569","12,218"
GA,GA House 174,"4,818","13,255"
GA,GA House 175,"8,702","14,611"
GA,GA House 176,"5,333","12,415"
GA,GA House 177,"7,474","6,566"
GA,GA House 178,"2,395","17,200"
GA,GA House 179,"9,019","13,170"
GA,GA House 180,"6,099","13,586"
