STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Klobuchar 2012 Senate D,Bills 2012 Senate R
MN,MN House 44A,"13,556","9,844","12,058","12,729","15,279","8,752"
MN,MN House 44B,"14,805","9,142","14,373","11,706","17,199","8,039"
MN,MN House 45A,"12,481","7,200","13,397","8,767","15,193","5,880"
MN,MN House 45B,"15,029","6,440","15,537","8,416","17,288","5,716"
MN,MN House 46A,"16,531","6,415","16,120","8,437","17,857","5,732"
MN,MN House 46B,"15,873","5,404","15,367","7,478","16,692","5,089"
MN,MN House 47A,"7,520","14,637","7,988","14,263","11,693","9,428"
MN,MN House 47B,"10,442","11,146","9,502","12,661","12,397","8,852"
MN,MN House 48A,"14,229","9,349","13,609","12,056","16,404","8,452"
MN,MN House 48B,"11,888","8,853","10,813","11,964","13,547","8,452"
MN,MN House 49A,"15,675","8,466","13,913","12,421","16,905","8,730"
MN,MN House 49B,"15,011","9,657","14,043","12,364","17,007","8,607"
MN,MN House 50A,"12,566","6,081","13,364","7,117","14,796","4,814"
MN,MN House 50B,"12,895","8,430","13,544","9,748","15,698","6,693"
MN,MN House 51A,"11,955","8,182","12,526","9,569","14,374","6,669"
MN,MN House 51B,"13,107","8,967","12,651","11,506","15,267","8,095"
MN,MN House 52A,"12,879","7,939","13,732","9,195","15,655","6,177"
MN,MN House 52B,"11,427","9,626","12,118","10,391","14,454","7,067"
MN,MN House 53A,"12,078","8,324","12,889","9,467","15,201","6,185"
MN,MN House 53B,"12,814","10,596","11,023","12,242","14,189","8,261"
MN,MN House 54A,"9,879","9,186","12,067","9,017","14,306","5,698"
MN,MN House 54B,"9,547","10,858","11,176","11,045","14,167","6,990"
MN,MN House 55A,"8,722","9,627","9,077","10,155","11,364","6,629"
MN,MN House 55B,"8,315","14,002","8,869","13,999","12,199","9,470"
MN,MN House 56A,"10,703","10,023","10,411","11,202","12,788","7,630"
MN,MN House 56B,"10,738","9,693","11,190","11,124","13,512","7,769"
MN,MN House 57A,"11,685","10,188","11,611","10,810","13,730","7,806"
MN,MN House 57B,"11,466","10,399","11,644","11,856","13,198","9,745"
MN,MN House 58A,"9,494","12,229","9,550","12,665","12,360","8,938"
MN,MN House 58B,"7,846","12,837","9,501","12,473","12,443","8,442"
MN,MN House 59A,"12,897","2,247","15,497","2,569","14,607","1,834"
MN,MN House 59B,"16,835","2,763","16,389","3,502","15,657","2,691"
MN,MN House 60A,"17,851","3,384","17,733","4,259","18,002","2,955"
MN,MN House 60B,"17,608","2,629","15,390","3,890","14,495","2,980"
MN,MN House 61A,"23,756","3,516","21,527","5,338","22,087","3,776"
MN,MN House 61B,"21,440","3,283","20,902","5,331","21,713","3,629"
