STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Tester 2012 Senate D,Rehberg 2012 Senate R
MT,MT House 91,"4,682","1,088","4,513","1,422","4,812","1,137"
MT,MT House 92,"1,775","2,801","2,285","2,634","2,680","2,111"
MT,MT House 93,"1,604","2,504","1,951","2,205","2,204","1,709"
MT,MT House 94,"2,439","2,285","2,556","2,173","2,897","1,761"
MT,MT House 95,"2,919","1,139","3,136","1,348","3,424","1,027"
MT,MT House 96,"2,178","2,752","2,123","2,440","2,460","1,963"
MT,MT House 97,"1,997","2,876","2,172","2,796","2,556","2,277"
MT,MT House 98,"2,554","2,212","2,773","2,042","3,115","1,588"
MT,MT House 99,"2,794","2,160","2,905","2,343","3,256","1,909"
MT,MT House 100,"4,186","1,070","4,153","1,244","4,433",969
