STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Dill 2012 Senate D,Summers 2012 Senate R
ME,ME House 94,"4,126","1,661","3,794","1,879",698,"1,307"
ME,ME House 95,"2,067","2,405","2,386","2,019",381,"1,523"
ME,ME House 96,"2,520","2,495","2,663","2,199",514,"1,629"
ME,ME House 97,"3,097","1,897","3,050","1,827",616,"1,385"
ME,ME House 98,"2,079","2,609","2,410","2,215",576,"1,828"
ME,ME House 99,"1,943","2,585","2,261","2,133",629,"1,583"
ME,ME House 100,"1,457","2,974","1,891","2,539",489,"1,986"
ME,ME House 101,"2,276","2,654","2,420","2,534",426,"1,867"
ME,ME House 102,"1,572","2,903","1,963","2,501",466,"1,973"
ME,ME House 103,"1,623","3,291","1,900","2,670",434,"2,089"
ME,ME House 104,"1,273","2,706","1,700","2,272",436,"1,725"
ME,ME House 105,"1,323","3,030","1,884","2,449",541,"1,924"
ME,ME House 106,"1,349","2,316","1,897","1,861",559,"1,348"
ME,ME House 107,"1,702","2,071","2,290","1,607",598,"1,241"
ME,ME House 108,"1,666","2,293","2,202","1,800",588,"1,329"
ME,ME House 109,"2,414","1,394","2,628","1,177",813,815
ME,ME House 110,"2,208","1,526","2,579","1,352",764,956
ME,ME House 111,"1,683","2,584","2,116","1,958",610,"1,479"
ME,ME House 112,"1,807","2,542","2,406","1,929",558,"1,444"
ME,ME House 113,"2,308","1,985","2,889","1,676",636,"1,270"
ME,ME House 114,"1,830","2,478","2,660","2,017",569,"1,548"
ME,ME House 115,"1,714","2,303","2,502","1,626",732,"1,128"
ME,ME House 116,"1,652","2,528","2,745","1,618",800,"1,231"
ME,ME House 117,"2,506","2,758","2,963","2,232",636,"1,580"
ME,ME House 118,"1,399","2,722","1,861","2,090",543,"1,643"
ME,ME House 119,"1,542","2,920","2,077","2,324",441,"1,836"
ME,ME House 120,"1,525","2,426","2,013","2,179",452,"1,662"
ME,ME House 121,"1,519","2,644","1,856","2,154",523,"1,644"
ME,ME House 122,"2,211","1,534","2,605","1,357",803,"1,045"
ME,ME House 123,"2,947","1,237","3,291","1,123",779,769
ME,ME House 124,"2,576","1,727","2,559","1,639",611,"1,248"
ME,ME House 125,"2,224","1,626","2,245","1,476",548,"1,127"
ME,ME House 126,"1,779","1,301","2,266","1,490",553,"1,137"
ME,ME House 127,"2,148","1,570","2,245","1,477",548,"1,127"
ME,ME House 128,"2,039","2,418","2,276","2,356",540,"1,748"
ME,ME House 129,"2,050","2,860","2,383","2,655",545,"2,096"
ME,ME House 130,"1,920","2,653","2,356","2,219",451,"1,786"
ME,ME House 131,"2,399","2,596","2,726","2,253",662,"1,722"
ME,ME House 132,"2,206","2,489","2,400","2,192",611,"1,718"
ME,ME House 133,"3,082","1,841","3,251","1,866",802,"1,494"
ME,ME House 134,"3,067","1,969","3,336","1,665",701,"1,285"
ME,ME House 135,"3,673","1,620","3,599","1,732",844,"1,314"
ME,ME House 136,"1,801","2,507","2,144","2,102",544,"1,650"
ME,ME House 137,"1,503","2,742","1,892","2,192",515,"1,695"
ME,ME House 138,"1,561","2,753","2,009","2,242",531,"1,724"
ME,ME House 139,"1,913","2,241","2,353","2,003",661,"1,484"
ME,ME House 140,"1,773","2,146","2,218","1,730",709,"1,363"
ME,ME House 141,"1,157","3,105","1,752","2,494",535,"1,887"
ME,ME House 142,"1,278","2,653","1,795","2,151",576,"1,585"
ME,ME House 143,"1,701","2,592","2,432","2,115",592,"1,627"
ME,ME House 144,"1,317","2,707","1,572","2,078",422,"1,556"
ME,ME House 145,"1,114","3,153","1,751","2,661",527,"1,976"
ME,ME House 146,"1,544","3,004","1,987","2,564",488,"1,992"
ME,ME House 147,"1,650","1,937","2,097","1,768",550,"1,375"
ME,ME House 148,"1,647","2,174","2,177","1,692",656,"1,314"
ME,ME House 149,"1,702","2,215","2,124","1,849",621,"1,467"
ME,ME House 150,"2,462","2,045","3,281","1,171","1,219",872
ME,ME House 151,"2,124","2,441","2,988","1,669",859,"1,184"
