STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Gillibrand 2012 Senate D,Long 2012 Senate R
NY,NY Assembly 84,"31,230","1,612","29,717",925,"27,142",759
NY,NY Assembly 85,"29,965","1,638","29,478",942,"27,039",776
NY,NY Assembly 86,"28,572","1,423","26,691",762,"24,799",656
NY,NY Assembly 87,"34,321","2,651","33,698","1,757","31,269","1,348"
NY,NY Assembly 88,"42,092","20,262","35,663","24,930","39,362","17,415"
NY,NY Assembly 89,"37,341","6,834","37,180","6,182","34,529","4,382"
NY,NY Assembly 90,"30,570","18,762","28,150","17,358","28,901","12,081"
NY,NY Assembly 91,"34,901","15,080","29,155","17,777","30,648","12,250"
NY,NY Assembly 92,"44,590","19,572","38,564","21,675","40,947","15,164"
NY,NY Assembly 93,"40,425","21,234","32,966","25,940","36,728","18,419"
NY,NY Assembly 94,"27,963","36,254","26,885","33,507","33,171","23,289"
NY,NY Assembly 95,"34,410","20,264","31,734","19,836","34,747","13,828"
NY,NY Assembly 96,"33,909","27,195","33,031","25,633","37,792","17,265"
NY,NY Assembly 97,"30,245","22,170","27,660","21,231","32,336","14,194"
NY,NY Assembly 98,"18,802","29,996","19,752","26,429","28,525","16,997"
NY,NY Assembly 99,"25,691","32,391","27,303","28,313","33,346","19,734"
NY,NY Assembly 100,"24,236","23,956","27,498","18,895","30,612","12,853"
NY,NY Assembly 101,"21,263","33,045","25,229","27,832","32,100","18,689"
NY,NY Assembly 102,"21,676","35,276","26,507","29,671","34,921","19,819"
NY,NY Assembly 103,"38,673","24,090","39,941","21,347","44,804","15,081"
NY,NY Assembly 104,"26,377","17,144","28,025","15,195","30,089","10,579"
NY,NY Assembly 105,"25,334","35,128","26,326","31,346","33,498","21,776"
NY,NY Assembly 106,"28,325","27,366","30,618","24,438","36,907","16,429"
NY,NY Assembly 107,"29,261","32,003","33,273","28,159","41,513","18,831"
NY,NY Assembly 108,"28,072","15,017","32,021","12,384","34,573","7,853"
NY,NY Assembly 109,"42,014","19,895","42,204","20,406","47,250","13,949"
NY,NY Assembly 110,"35,319","24,780","36,085","24,105","41,994","16,697"
NY,NY Assembly 111,"20,811","26,727","25,486","22,188","31,204","14,307"
NY,NY Assembly 112,"32,069","34,923","32,875","33,036","41,243","23,459"
NY,NY Assembly 113,"28,680","30,014","31,092","26,853","39,018","17,746"
NY,NY Assembly 114,"24,443","31,263","29,527","26,585","36,164","18,112"
NY,NY Assembly 115,"23,111","23,889","29,888","17,657","30,530","13,687"
NY,NY Assembly 116,"19,928","24,336","24,801","19,975","29,376","13,049"
NY,NY Assembly 117,"15,046","29,599","19,837","23,547","24,948","15,760"
NY,NY Assembly 118,"17,241","34,732","22,742","28,286","29,013","19,315"
NY,NY Assembly 119,"18,407","24,148","22,564","20,628","27,417","12,677"
NY,NY Assembly 120,"20,704","31,826","26,445","24,207","29,151","18,379"
NY,NY Assembly 121,"21,394","28,587","25,127","24,565","29,552","17,674"
NY,NY Assembly 122,"19,458","33,611","24,608","28,369","30,694","19,925"
NY,NY Assembly 123,"28,293","22,726","28,702","21,713","33,148","14,973"
NY,NY Assembly 124,"20,974","31,860","25,264","28,597","31,237","20,442"
NY,NY Assembly 125,"34,677","15,762","34,022","15,998","34,809","12,821"
NY,NY Assembly 126,"27,250","32,088","31,909","27,978","35,389","20,966"
NY,NY Assembly 127,"32,691","31,584","34,841","29,200","40,372","20,954"
NY,NY Assembly 128,"33,568","17,477","37,107","16,977","38,895","12,294"
NY,NY Assembly 129,"27,562","14,552","30,736","13,804","31,815","9,863"
NY,NY Assembly 130,"19,468","32,916","24,642","26,991","27,566","21,305"
NY,NY Assembly 131,"26,381","31,443","28,445","28,071","31,455","22,314"
NY,NY Assembly 132,"19,269","34,799","23,634","29,075","28,393","22,179"
NY,NY Assembly 133,"27,245","34,441","27,331","32,491","32,234","24,771"
NY,NY Assembly 134,"26,418","35,952","29,188","32,034","34,398","23,740"
NY,NY Assembly 135,"36,907","33,982","35,215","35,521","41,216","26,946"
NY,NY Assembly 136,"39,458","19,333","40,013","19,887","42,275","14,855"
NY,NY Assembly 137,"33,425","8,977","37,674","7,684","35,515","5,936"
NY,NY Assembly 138,"32,917","18,356","32,894","17,412","34,553","13,563"
NY,NY Assembly 139,"16,968","35,862","20,713","30,144","25,156","22,685"
NY,NY Assembly 140,"28,794","26,390","32,683","23,380","37,586","16,087"
NY,NY Assembly 141,"42,666","4,801","47,407","4,326","42,206","3,118"
NY,NY Assembly 142,"27,211","30,818","32,192","26,102","38,099","16,992"
NY,NY Assembly 143,"26,789","32,215","31,298","26,691","37,924","17,143"
NY,NY Assembly 144,"21,182","38,766","24,893","34,334","30,645","25,413"
NY,NY Assembly 145,"23,570","30,201","28,103","25,453","32,773","17,589"
NY,NY Assembly 146,"32,847","27,733","31,442","29,498","36,786","21,912"
NY,NY Assembly 147,"20,410","42,570","25,810","36,605","32,645","26,366"
NY,NY Assembly 148,"14,599","33,412","19,160","27,895","23,803","20,923"
NY,NY Assembly 149,"32,051","20,434","33,971","17,851","36,566","12,183"
NY,NY Assembly 150,"19,091","31,594","23,812","27,971","29,001","20,869"
