STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Warren 2012 Senate D,Brown 2012 Senate R,Markey 2014 Senate D,Herr 2014 Senate R
MA,MA House 6th Middlesex,"14,016","5,255","12,539","6,836","11,060","8,591","8,771","4,607"
MA,MA House 7th Middlesex,"10,834","4,102","9,743","4,949","8,509","6,398","5,957","3,423"
MA,MA House 8th Middlesex,"15,153","7,809","12,618","11,216","10,535","13,650","8,269","8,940"
MA,MA House 9th Middlesex,"13,962","6,205","12,698","7,436","11,263","9,160","9,205","4,562"
MA,MA House 10th Middlesex,"11,524","4,023","10,297","4,762","9,233","6,104","6,886","2,681"
MA,MA House 11th Middlesex,"17,570","3,553","15,352","5,482","14,366","6,799","11,594","3,576"
MA,MA House 12th Middlesex,"17,005","3,404","15,065","5,748","13,988","7,099","11,247","3,639"
MA,MA House 13th Middlesex,"16,517","5,928","14,154","9,136","12,434","11,165","9,981","6,136"
MA,MA House 14th Middlesex,"17,548","5,733","14,994","9,011","13,487","10,871","11,128","6,329"
MA,MA House 15th Middlesex,"17,062","5,863","15,799","8,053","14,492","9,709","11,989","5,052"
MA,MA House 16th Middlesex,"9,829","6,354","9,666","6,873","8,213","8,579","6,134","4,113"
MA,MA House 17th Middlesex,"9,796","4,743","9,462","5,012","8,155","6,503","5,959","3,132"
MA,MA House 18th Middlesex,"8,480","2,866","7,827","2,847","6,841","3,910","4,290","1,645"
MA,MA House 19th Middlesex,"10,682","11,299","10,665","11,387","8,668","13,681","8,305","7,048"
MA,MA House 20th Middlesex,"12,885","11,877","11,417","13,917","9,353","16,255","8,987","9,203"
MA,MA House 21st Middlesex,"13,711","8,632","12,317","10,312","10,532","12,400","9,012","6,770"
MA,MA House 22nd Middlesex,"10,100","10,319","9,839","9,959","8,084","12,049","7,190","6,513"
MA,MA House 23rd Middlesex,"19,579","5,253","17,959","7,185","16,752","8,845","14,197","4,476"
MA,MA House 24th Middlesex,"18,931","4,350","16,938","6,519","15,988","7,886","12,861","3,996"
MA,MA House 25th Middlesex,"17,350",846,"16,802","1,778","16,577","2,491","10,839","1,061"
MA,MA House 26th Middlesex,"16,361","1,911","14,454","2,212","13,947","3,180","9,325","1,277"
MA,MA House 27th Middlesex,"19,929","1,990","17,118","2,580","16,679","3,747","11,407","1,578"
MA,MA House 28th Middlesex,"9,461","3,940","9,409","3,589","8,416","4,664","6,747","1,970"
MA,MA House 29th Middlesex,"18,931","3,532","17,345","4,433","16,352","5,904","12,579","2,782"
MA,MA House 30th Middlesex,"12,306","8,384","11,168","9,142","9,389","11,160","8,439","5,681"
MA,MA House 31st Middlesex,"15,024","8,944","13,803","11,244","11,878","13,464","11,088","7,208"
MA,MA House 32nd Middlesex,"15,769","7,865","13,916","9,524","11,860","11,884","11,242","5,983"
MA,MA House 33rd Middlesex,"10,482","3,775","9,929","3,813","8,961","4,863","6,897","2,049"
MA,MA House 34th Middlesex,"16,103","3,343","14,397","3,656","13,374","5,110","9,306","2,077"
MA,MA House 35th Middlesex,"12,999","5,294","11,993","5,609","10,692","7,160","8,835","3,147"
MA,MA House 36th Middlesex,"9,706","11,486","9,781","11,405","7,829","13,669","7,171","7,364"
MA,MA House 37th Middlesex,"14,274","7,284","12,842","9,080","11,124","11,251","9,292","6,512"
