STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Casey 2012 Senate D,Smith 2012 Senate R
PA,PA House 90,"6,853","22,035","7,461","18,753","7,703","18,134"
PA,PA House 91,"9,830","19,494","10,304","16,674","10,631","15,904"
PA,PA House 92,"9,128","21,989","9,608","20,101","10,133","19,105"
PA,PA House 93,"10,296","21,443","10,534","19,498","10,816","18,621"
PA,PA House 94,"8,365","19,389","9,565","16,762","9,833","15,981"
PA,PA House 95,"13,935","7,696","13,873","7,072","13,653","6,705"
PA,PA House 96,"17,671","5,196","16,923","5,258","16,157","5,350"
PA,PA House 97,"15,581","19,429","13,649","19,888","13,860","19,169"
PA,PA House 98,"9,585","18,207","10,037","16,128","10,200","15,607"
PA,PA House 99,"6,343","16,793","6,506","15,632","6,607","15,272"
PA,PA House 100,"6,732","16,027","7,586","14,382","7,620","14,117"
PA,PA House 101,"11,276","17,709","11,018","16,336","11,421","15,409"
PA,PA House 102,"7,233","20,706","8,339","17,677","8,994","16,640"
PA,PA House 103,"19,383","4,565","20,208","4,411","19,053","4,172"
PA,PA House 104,"14,386","17,905","14,944","16,446","15,311","15,360"
PA,PA House 105,"15,801","18,643","15,089","17,758","15,704","16,537"
PA,PA House 106,"13,928","16,364","13,089","16,249","13,450","15,170"
PA,PA House 107,"7,477","17,279","10,059","13,225","10,078","12,727"
PA,PA House 108,"6,857","17,957","8,086","14,729","7,974","14,468"
PA,PA House 109,"8,517","16,743","10,303","13,275","10,712","12,559"
PA,PA House 110,"6,588","17,735","8,990","14,002","8,728","13,943"
PA,PA House 111,"7,920","18,700","10,043","15,088","10,373","14,523"
PA,PA House 112,"16,872","12,595","19,877","8,554","20,820","7,314"
PA,PA House 113,"15,731","11,160","18,057","8,417","18,963","7,221"
PA,PA House 114,"14,788","17,350","18,326","12,583","19,237","11,290"
PA,PA House 115,"13,859","9,124","13,977","7,516","13,041","7,201"
PA,PA House 116,"7,654","16,141","8,801","12,484","9,286","11,561"
PA,PA House 117,"8,860","19,072","11,026","14,893","11,315","14,238"
PA,PA House 118,"12,577","17,430","15,835","12,218","16,677","10,957"
PA,PA House 119,"8,993","15,692","11,954","10,991","12,514","10,002"
PA,PA House 120,"12,092","15,523","14,473","12,042","15,119","10,841"
PA,PA House 121,"10,678","10,946","12,857","7,815","13,077","7,063"
PA,PA House 122,"8,418","17,913","10,863","12,886","11,156","12,202"
PA,PA House 123,"7,076","14,505","10,846","9,816","10,797","9,682"
PA,PA House 124,"7,331","20,327","9,831","15,880","10,138","15,277"
PA,PA House 125,"6,487","20,197","9,155","15,554","9,388","15,042"
PA,PA House 126,"15,059","10,027","15,335","8,451","14,959","7,799"
PA,PA House 127,"13,137","3,400","12,762","2,899","11,604","2,852"
PA,PA House 128,"12,470","18,851","12,904","17,771","13,448","16,698"
PA,PA House 129,"12,150","18,692","12,520","17,096","13,141","15,827"
PA,PA House 130,"11,018","18,786","12,239","15,933","12,845","14,836"
PA,PA House 131,"14,560","18,679","13,925","16,909","14,175","15,994"
PA,PA House 132,"15,735","8,057","15,001","7,611","14,957","7,013"
PA,PA House 133,"14,538","11,751","14,982","10,004","15,250","9,169"
PA,PA House 134,"14,268","18,395","13,820","17,652","14,343","16,473"
PA,PA House 135,"17,183","9,460","17,013","8,978","16,472","8,158"
PA,PA House 136,"14,649","11,664","14,571","9,611","14,401","8,794"
PA,PA House 137,"12,702","17,645","13,135","14,677","13,489","13,432"
