Dist,Incumbent,PVI,Clinton %,Trump %,Obama %,Romney %
TX-33,Marc Veasey (D),D+23,72.8,23.7,72,27.1
TX-34,Filemon Vela (D),D+10,59.1,37.6,60.7,38.3
TX-35,Lloyd Doggett (D),D+15,63.6,30.3,63,34.6
TX-36,Brian Babin (R),R+26,25.1,71.7,25.7,73.1
UT-01,Rob Bishop (R),R+26,22.4,49.7,20.4,77.5
UT-02,Chris Stewart (R),R+16,32,46,29.4,68.4
UT-03,John Curtis (R),R+25,23.3,47.2,19.6,78.6
UT-04,Ben McAdams (D),R+13,32.4,39.1,30.4,67.6
VT-AL,Peter Welch (D),D+15,56.7,30.3,66.6,31
VA-01,Rob Wittman (R),R+8,40.9,53.1,null,null
VA-02,Elaine Luria (D),R+3,45,48.4,null,null
VA-03,Bobby Scott (D),D+16,63.2,31.7,null,null
VA-04,Don McEachin (D),D+10,58.4,37,null,null
VA-05,Denver Riggleman (R),R+6,42.1,53.1,null,null
VA-06,Ben Cline (R),R+13,34.7,59.3,null,null
VA-07,Abigail Spanberger (D),R+6,43.7,50.2,null,null
VA-08,Don Beyer (D),D+21,72.4,20.6,null,null
VA-09,Morgan Griffith (R),R+19,27.2,68.4,null,null
VA-10,Jennifer Wexton (D),D+1,51.6,41.7,null,null
VA-11,Gerry Connolly (D),D+15,66.1,27.2,null,null
WA-01,Suzan DelBene (D),D+6,54.2,37.8,54.1,43.3
WA-02,Rick Larsen (D),D+10,56.9,34.8,59.2,38
WA-03,Jaime Herrera Beutler (R),R+4,42.5,49.9,47.9,49.6
WA-04,Dan Newhouse (R),R+13,35.1,57.9,37.9,59.7
WA-05,Cathy McMorris Rodgers (R),R+8,39.1,52.2,43.7,53.5
WA-06,Derek Kilmer (D),D+6,51.8,39.5,56.1,41.2
WA-07,Pramila Jayapal (D),D+33,82.1,12.2,79.2,18.1
WA-08,Kim Schrier (D),EVEN,47.7,44.7,49.7,48.1
WA-09,Adam Smith (D),D+21,70.4,23.4,68.3,29.6
WA-10,Denny Heck (D),D+5,51.2,39.9,56.3,41.1
WV-01,David McKinley (R),R+19,26.4,68,35.5,62.2
WV-02,Alex Mooney (R),R+17,29.4,65.8,38,60
WV-03,Carol Miller (R),R+23,23.3,72.5,32.8,65
WI-01,Bryan Steil (R),R+5,41.8,52.1,47.4,51.6
WI-02,Mark Pocan (D),D+18,64.9,28.6,68.2,30.4
WI-03,Ron Kind (D),EVEN,44.3,48.8,54.7,43.7
WI-04,Gwen Moore (D),D+25,73,21.5,75.2,23.7
WI-05,Jim Sensenbrenner (R),R+13,36.7,56.5,37.7,61.2
WI-06,Glenn Grothman (R),R+8,38.2,54.8,45.7,53
WI-07,Sean Duffy (R),R+8,36.9,57.2,47.7,50.8
WI-08,Mike Gallagher (R),R+7,38.3,55.7,47.5,51.2
WY-AL,Liz Cheney (R),R+25,21.9,68.2,27.8,68.6
