Dist,Incumbent,PVI,Clinton %,Trump %,Obama %,Romney %
FL-13,Charlie Crist (D),D+2,49.6,46.4,null,null
FL-14,Kathy Castor (D),D+7,57.2,39,null,null
FL-15,Ross Spano (R),R+6,43.1,53.1,null,null
FL-16,Vern Buchanan (R),R+7,43,53.7,null,null
FL-17,Greg Steube (R),R+13,35,62.2,null,null
FL-18,Brian Mast (R),R+5,44.1,53.3,null,null
FL-19,Francis Rooney (R),R+13,37.5,59.6,null,null
FL-20,Alcee Hastings (D),D+31,80.2,18.1,null,null
FL-21,Lois Frankel (D),D+9,58.6,39.1,null,null
FL-22,Ted Deutch (D),D+6,56.8,41,null,null
FL-23,Debbie Wasserman Schultz (D),D+11,61.9,35.8,null,null
FL-24,Frederica Wilson (D),D+34,82.7,15.5,null,null
FL-25,Mario Diaz-Balart (R),R+4,47.9,49.7,null,null
FL-26,Debbie Mucarsel-Powell (D),D+6,56.8,40.5,null,null
FL-27,Donna Shalala (D),D+5,58.6,38.9,null,null
GA-01,Buddy Carter (R),R+9,40.9,56.4,43,55.9
GA-02,Sanford Bishop (D),D+6,55,43.3,58.6,40.8
GA-03,Drew Ferguson (R),R+18,32.8,64.3,33,65.9
GA-04,Hank Johnson (D),D+24,75.3,22.2,73.6,25.6
GA-05,John Lewis (D),D+34,85,11.9,83.1,15.8
GA-06,Lucy McBath (D),R+8,46.8,48.3,37.4,60.9
GA-07,Rob Woodall (R),R+9,44.8,51.1,38.4,60.2
GA-08,Austin Scott (R),R+15,34.4,63.3,37.5,61.6
GA-09,Doug Collins (R),R+31,19.3,77.8,20.5,78.2
GA-10,Jody Hice (R),R+15,35.8,61.3,36.3,62.5
GA-11,Barry Loudermilk (R),R+17,35.3,60.3,31.5,66.9
GA-12,Rick Allen (R),R+9,40.7,56.9,43.7,55.4
GA-13,David Scott (D),D+20,71,26.6,69.3,30
GA-14,Tom Graves (R),R+27,22.1,75,25.3,73.2
HI-01,Ed Case (D),D+17,63.1,30.5,69.7,29
